Density,aixtal_microscopy,
183,120.780761,3.47
184,121.6054378,1.41
185,129.5994721,9.18
186,119.5846295,8.28
187,124.3190258,6.73
188,115.828762,8.9
189,116.4358421,2.05
190,120.802785,5.16
191,126.5936239,4.07
192,125.9324728,8.22
193,126.7757948,1.63
194,114.2703288,7.51
195,122.1397519,5.57
196,128.4562152,3.7
197,119.9242758,3.37
198,121.4674659,4.08
199,124.1287974,4.29
200,124.6441301,7.24
201,119.4250008,9.75
202,130.7706831,3.22
203,130.1664693,2.72
204,126.6876533,3.54
205,124.1977378,9.3
206,121.5725985,5.39
207,116.3181296,9.53
208,113.3549159,6.09
209,121.8901204,2.27
210,118.5386683,8.39
211,122.3398004,5.76
212,120.8752696,5.83
213,120.6167723,1.88
214,122.0843907,2.72
215,118.877528,7.74
216,122.3411281,2.44
217,121.2027864,6.7
218,118.3749425,6.69
219,113.7431042,7.95
220,114.8661763,9.51
221,123.0903509,1.81
222,118.939804,2.06
223,124.3184746,2.79
224,120.3791166,5.61
225,117.5150046,1.04
226,117.4035126,8.22
227,132.5860478,7.66
228,128.8880686,4.06
229,115.741272,2.83
230,130.3305652,3.97
231,122.0039128,2.71
232,111.8687345,9.19
233,130.5546489,5.53
234,131.9244832,5.87
235,118.3742387,2.63
236,125.7688726,7.75
237,118.839154,5.86
238,117.5316598,6.58
239,117.1772668,1.14
240,115.6201698,5.53
241,113.288732,4.08
242,118.8971595,9.51
243,130.2275892,9.42
244,129.8715572,6.62
245,127.1937133,5
246,109.7207637,3.07
247,113.6803593,4.35
248,121.3763346,2.03
249,117.5322452,7.49
250,121.0402836,8.01
251,129.799617,7.5
252,123.2044121,5.05
253,124.2082086,4.13
254,117.8896158,3.07
255,118.0053016,7.25
256,131.5443014,4.73
257,126.1706335,4.51
258,121.9694282,4.36
259,122.0732449,4.4
260,118.6683476,5.43
261,115.5719257,8.15
262,113.5207513,7.66
263,129.5400248,3.14
264,118.7530502,5.51
265,124.2294541,7.04
266,123.3522684,8.73
267,115.6683253,3.85
268,117.4149199,6.91
269,116.3609777,3.18
270,123.4029122,4.11
271,126.6768261,5.22
272,118.9908317,7.95
273,121.2051832,6.21
274,126.0637902,5.78
275,119.7675965,2.7
276,113.1560204,6.12
277,122.6844078,7.26
278,118.2441187,2.2
279,119.8612639,8.17
280,126.2989024,8.95
281,132.2482473,1.66
282,112.3434082,5.21
283,116.2303219,5.16
284,116.6195647,6.28
285,125.6420764,8.67
286,115.7900853,6.65
287,128.6056099,5.62
288,130.0012513,8.35
289,119.2746034,9.08
290,128.676029,5.85
291,113.2562851,8.88
292,116.9549458,3.18
293,113.6734975,1.44
294,124.3382522,9.16
295,111.2796255,1.86
296,119.223882,1.49
297,114.8157975,1.35
298,124.4910704,5.54
299,118.3242231,5.58
300,123.3292041,6.15
301,117.6043505,3.05
302,127.5150556,6.27
303,116.3660984,6.75
304,117.1603367,2.89
305,122.0165786,7.48
306,130.903566,1.62
307,124.1716342,5.03
308,124.9759983,1.18
309,131.2301321,5.29
310,123.3608736,3.32
311,132.0553795,4.74
312,121.343801,2.18
313,122.0858737,9.36
314,128.1003725,5.34
315,115.9931879,1.61
316,120.1715053,4.06
317,120.2008416,3.41
318,127.6039491,4.44
319,128.8212938,5.99
320,122.008641,4.71
321,123.7840646,8.46
322,120.1483805,3.43
323,116.4618208,9.2
324,120.2622682,7.94
325,125.5592718,1.53
326,133.2622522,6.35
327,131.0645031,9.47
328,124.6013544,4.63
329,125.0144558,5.56
330,113.6801434,7.13
331,124.2636079,3.53
332,119.5507929,3.89
333,115.8086923,7.8
334,118.0244002,3.88
335,117.6756065,2.84
336,118.1156836,2.57
337,119.1885524,8.07
338,112.7192574,5.47
339,113.5771017,2.59
340,121.376151,6.17
341,119.0045408,6.65
342,121.3832786,3.09
343,117.2985538,3.21
344,125.4437649,2.27
345,132.096803,5.39
346,116.3633837,2.89
347,125.4683892,6.1
348,119.544836,2.25
349,117.7301723,5.96
350,116.678395,4.1
351,123.5841755,4.31
352,112.347847,2.03
353,116.407912,5.32
354,117.1023022,8.87
355,127.8330392,3.56
356,111.3365534,7.5
357,114.5652141,2.32
358,118.2406805,1.4
359,119.0411781,2.79
360,125.7639152,8.08
361,112.0773076,5.04
362,119.7124812,7.88
363,116.1782819,6.22
364,117.1537981,9.42
365,117.3623831,4.84
366,121.2311201,3.25
367,129.6401807,6.25
368,132.373411,1.69
369,119.8576093,9.04
370,129.6537838,7.32
371,115.3178047,5.77
372,132.4337395,2.56
373,119.0714454,2.04
374,128.1627555,2.52
375,126.8763112,2.93
376,114.0737363,6.26
377,121.051839,3.49
378,126.9535853,8.04
379,117.9749998,9.17
380,111.9464983,8.09
381,118.3453732,9.76
382,120.7329047,2.04
383,117.8351787,9.3
384,120.2900219,7.3
385,119.1747019,5.57
386,116.5088311,8.43
387,115.224769,1.55
388,122.645273,2.65
389,122.1507548,5.95
390,112.7182523,2.64
391,119.8059881,4.61
392,125.0624777,2.44
393,119.042087,9.42
394,127.6559514,7.83
395,114.3358016,5.62
396,128.0210765,1.01
397,124.0046546,8.87
398,128.3527035,3.96
399,126.9816573,9.37
400,129.939432,3.75
401,125.4400654,2.6
402,125.3836742,1.16
403,119.8833737,3.23
404,112.1776252,5.86
405,124.5172585,7.59
406,114.2667087,4.33
407,127.2681777,4.06
408,121.5417092,9
409,111.9931862,1.29
410,127.9395999,6.9
411,133.7362738,1.63
412,126.8071842,8.32
413,125.6871776,5.61
414,125.8904084,5.94
415,112.2410774,3.29
416,119.0453218,6.67
417,119.5214222,7.21
418,118.7806586,8.35
419,129.6942611,1.92
420,121.6517308,6.93
421,121.3318034,7.43
422,121.6715263,3.01
423,128.2002545,3.95
424,114.8547248,6.38
425,121.023843,3.49
426,133.7011432,4.83
427,112.9212392,3.65
428,116.8869313,1.78
429,122.6448091,2.1
430,112.2747353,3.13
431,116.7397378,4.15
432,114.4915905,7.26
433,119.6477894,2.65
434,122.654737,5.34
435,124.9470033,9.82
436,116.5424624,3.01
437,120.3196959,8.01
438,111.29154,3.1
439,128.6405724,5.39
440,119.4708636,9.06
441,126.7069103,5.99
442,126.3373071,2.7
443,116.987964,8.94
444,116.9764421,1.98
445,111.2120903,2.97
446,124.1963156,1.85
447,113.8040445,4.53
448,112.7560487,3.2
449,122.6541616,1.01
450,115.3012587,2.21
451,120.3227479,8.74
452,113.8226516,3.9
453,116.1784498,7.16
454,121.7021339,9.42
455,112.1301249,5.87
456,128.6049251,6.15
457,126.4247838,1.54
458,111.4996871,6.43
459,129.8115621,6.9
460,116.0063947,3.06
461,119.8134464,2.26
462,129.2557686,3.24
463,120.0010994,8.38
464,121.5575533,2.99
465,111.0060525,7.57
466,122.8217588,7.73
467,121.4751445,5.88
468,124.8606102,1.94
469,111.3372202,3.32
470,111.1264751,5.54
471,123.6374071,9.6
472,121.799572,6.24
473,121.6348344,7.7
474,121.6638558,9.28
475,118.7499402,4.24
476,120.3195345,4.31
477,112.8794168,8.18
478,127.1286827,1.48
479,115.1528132,2.79
480,127.509286,5.41
481,109.6483579,5.01
482,112.2094194,7.19
483,121.8242525,4.37
484,126.6030343,9.3
485,110.7389364,5.89
486,120.2124632,1.04
487,124.4661145,2.77
488,124.1830074,4.54
489,119.281587,4.78
490,121.5394045,8.06
491,125.9235637,3.54
492,122.4793185,8.86
493,127.6059331,3.05
494,122.4174971,7.8
495,126.1406138,6.65
496,115.9908637,6.21
497,133.7348732,3.43
498,131.6637325,8.52
499,120.5816677,6.82
500,120.5512518,6.88
501,111.8321681,3.39
502,110.663107,1.33
503,114.7489462,1.58
504,123.3954529,3.45
505,120.6642469,1.66
506,129.7220191,4.44
507,114.3044416,3.02
508,113.4147582,7.96
509,115.4064891,8.3
510,122.9607813,2.97
511,114.5851506,2.43
512,115.9188474,1.47
513,127.0798166,9.34
514,123.6328767,7.46
515,120.0961275,4.61
516,113.7518669,7.37
517,130.311942,3.96
518,116.5954692,9.27
519,114.1475189,5.54
520,116.2879631,4.11
521,119.0585907,9.68
522,120.745912,8.49
523,114.4487939,3.2
524,124.6908667,8.68
525,114.9322057,7.99
526,130.489043,9.45
527,111.9934688,3.07
528,126.7239716,2.94
529,126.17102,7.85
530,117.0816298,1.17
531,117.0023878,4.8
532,121.3559526,3.5
533,125.0732637,5.45
534,126.5419742,5.21
535,126.7050217,2.02
536,127.6186871,5.52
537,117.1295433,2.9
538,124.824499,8.32
539,123.1200986,9.2
540,123.8507798,7.87
541,131.6466918,9.71
542,111.4429192,2.93
543,111.6221984,6.53
544,126.5075239,10
545,120.0114792,1.98
546,111.0429145,5.25
547,118.6268907,8.36
548,121.4303077,4.71
549,118.532848,7.29
550,121.7526848,4.21
551,111.4398192,9.41
552,127.9319968,2.38
553,120.4936649,6.01
554,120.2556247,5.52
555,129.3329067,6.63
556,120.2038073,9.02
557,111.2713879,7.95
558,127.0461127,1.82
559,130.2142634,8.97
560,131.8218873,6.72
561,120.0515469,9.84
562,120.6997841,6.27
563,123.1890322,2.43
564,111.2486716,6.51
565,114.7532854,8.54
566,122.2175435,4.25
567,116.0660696,5.63
568,131.1302376,7.91
569,126.2906374,8.56
570,118.0964415,4.51
571,120.8521718,8.11
572,119.3664611,9.46
573,122.4609429,6.43
574,115.0428808,8.93
575,115.1829923,3.28
576,119.8635543,8.41
577,110.5469793,5.37
578,118.2864674,1.78
579,116.5633456,1.16
580,122.3206811,4.3
581,122.9221984,3.71
582,122.6341068,8.44
583,123.0127604,7.36
584,113.9873477,4.38
585,116.1402448,7.43
586,115.110371,9.8
587,121.9898881,4.53
588,128.1144104,3.31
589,129.6847005,1.75
590,127.2599218,1.58
591,121.2862235,3.77
592,124.8504243,1.9
593,121.7420131,6.25
594,119.6973929,4.96
595,119.7372116,6.71
596,120.4600558,9.78
597,125.0663032,1.12
598,128.7427673,2.67
599,130.5592501,6.37
600,125.1586109,4.83
601,114.3265362,4.38
602,121.8820587,7.78
603,116.0555774,6.3
604,123.4724414,3.62
605,113.2132733,6.66
606,122.6483331,8.04
607,125.2325876,1.29
608,126.2643824,7.72
609,120.9546008,5.56
610,129.7994383,9.66
611,127.7077414,2.61
612,113.3802916,5.51
613,120.2968304,5.1
614,115.6745859,6.49
615,117.4286194,4.26
616,117.8254355,3.17
617,114.305931,3.95
